"code";"name";"classSystem";"active"
"0113";"Growing of vegetables and melons, roots and tubers";"NACE";"true"
"0112";"Growing of rice";"NACE";"true"
"0111";"Growing of cereals (except rice), leguminous crops and oil seeds";"NACE";"true"
"6203";"Computer facilities management activities";"NACE";"true"
"6202";"Computer consultancy activities";"NACE";"true"
"6201";"Computer programming activities";"NACE";"true"
"51411";"News Syndicates";"NAICS1997";"true"
"5141";"Information Services";"NAICS1997";"true"
"514";"Information Services and Data Processing Services";"NAICS1997";"true"
