name;description;useInContext;category;uploadPath;baseUrl;active
Company docs;;BusinessPartner.company;document;D:/env/web-server/apache-http/php-doc-root/dnet-uploads/business-partner/company;http://localhost/dnet-uploads/business-partner/company;true
Manufacturer specification;"Product description, manufacturer specifications";%Product;document;D:/env/web-server/apache-http/php-doc-root/dnet-uploads/product/specs;http://localhost/dnet-uploads/product/specs;true
Person docs;;BusinessPartner.person;document;D:/env/web-server/apache-http/php-doc-root/dnet-uploads/business-partner/person;http://localhost/dnet-uploads/business-partner/person;true
Photo;Employee photos;%Employee;image;D:/env/web-server/apache-http/php-doc-root/dnet-uploads/employee/photo;http://localhost/dnet-uploads/employee/photo;true
Product image;Product pictures;%Product;image;D:/env/web-server/apache-http/php-doc-root/dnet-uploads/product/photo;http://localhost/dnet-uploads/product/photo;true
Scanned document;Scanned papers;%Employee;image;D:/env/web-server/apache-http/php-doc-root/dnet-uploads/employee/papers;http://localhost/dnet-uploads/employee/papers;true
