sequenceNo;name;title;menu;frame;bundle;active;uuid
40;hr-menu-employee;Employees;HR;;;true;B2979FDB-5E6B-4259-8215-9DA6ABD4DBA9
20;hr-menu-grade;Grades;HR;;;true;4372B6AB-AB73-4D4F-BB44-BADB61E204F6
30;hr-menu-job;Jobs;HR;;;true;FB3D0FB1-1F48-4628-A887-7A94EB2AF080
50;hr-menu-payroll;Payroll;HR;;;true;235D7BDA-C11D-4B6A-B405-3D572E994E56
5;hr-menu-payroll-setup;Setup;;;;true;E1C6C9AC-AD84-4F9E-9EE0-6330E963BE19
10;hr-menu-skill;Competence;HR;;;true;A7CD46EF-D7D0-40EF-A622-12F7E9FF4A1B
70;hr-menu-time;Time management;HR;;;true;44134AF6-B5CF-4924-A08B-1CCE37177FC5
60;hr-menu-training;Training;HR;;;true;3008E81E-B212-4BED-A456-451948E4EA85
30;ImportJob_UI;Impport jobs;;net.nan21.dnet.module.ad.impex.frame.ImportJob_UI;nan21.dnet.module.ad.ui.extjs;true;642FE8DE-CA61-49FB-B402-992A59AED7AB
20;ImportMapItem_UI;Import files;;net.nan21.dnet.module.ad.impex.frame.ImportMapItem_UI;nan21.dnet.module.ad.ui.extjs;true;1C8BE8FB-B882-4D0B-A1C6-6D6A3478139A
10;ImportMap_UI;Import file-sets;;net.nan21.dnet.module.ad.impex.frame.ImportMap_UI;nan21.dnet.module.ad.ui.extjs;true;EA32FC40-E957-4754-ABB7-7C589F5BC7BD
70;InvBalance_UI;Stocks;;net.nan21.dnet.module.md.tx.inventory.frame.InvBalance_UI;nan21.dnet.module.md.ui.extjs;true;B47E83F0-E302-45AD-A045-7CC005FCD780
60;InvOperations_UI;Movements overview;;net.nan21.dnet.module.md.tx.inventory.frame.InvOperations_UI;nan21.dnet.module.md.ui.extjs;true;49B0CF33-C828-4E0A-B571-645FD0EB925A
10;InvTransactions_UI;Transactions overview;;net.nan21.dnet.module.md.tx.inventory.frame.InvTransactions_UI;nan21.dnet.module.md.ui.extjs;true;70F7F123-52F5-4E24-A805-4C7A277B10F9
20;InvTransfer_UI;Goods transfer;;net.nan21.dnet.module.md.tx.inventory.frame.InvTransfer_UI;nan21.dnet.module.md.ui.extjs;true;D1309537-2748-4AED-8798-E488C10F9807
30;InvTxTypes_UI;Transaction types;;net.nan21.dnet.module.md.tx.inventory.frame.InvTxTypes_UI;nan21.dnet.module.md.ui.extjs;true;8E6248D6-CB57-4D31-8AA2-A9DF41A5D171
20;IssueBaseData_UI;Issue base data;;net.nan21.dnet.module.pj.base.frame.IssueBaseData_UI;nan21.dnet.module.pj.ui.extjs;true;C7261551-FF16-4B08-A30D-D25AD69A729E
40;IssueChangelog_UI;Changelog;;net.nan21.dnet.module.pj.md.frame.IssueChangelog_UI;nan21.dnet.module.pj.ui.extjs;true;5AE8367B-D06E-46AF-99FE-9451871B0EC5
30;IssueRoadmap_UI;Roadmap;;net.nan21.dnet.module.pj.md.frame.IssueRoadmap_UI;nan21.dnet.module.pj.ui.extjs;true;FB460BFF-75C5-4CC2-AAAD-86E9C3B938DA
20;IssuesMnt_UI;Issue maintenance;;net.nan21.dnet.module.pj.md.frame.IssuesMnt_UI;nan21.dnet.module.pj.ui.extjs;true;D6773A6B-7BD1-4C55-8B26-CF0A305748B4
10;Issues_UI;Incidents;;net.nan21.dnet.module.pj.md.frame.Issues_UI;nan21.dnet.module.pj.ui.extjs;true;66B34DFB-4A38-42FA-93CA-8537881F7C90
30;IssueTask_UI;Tasks;;net.nan21.dnet.module.pj.md.frame.IssueTask_UI;nan21.dnet.module.pj.ui.extjs;true;AB0DF304-6CDA-43DC-8D23-E215EBD33A52
10;iv-menu-base;Base data;IV;;;true;D0F468F7-D3BD-4092-965A-0354B8B93E62
20;iv-menu-tx;Transactions;IV;;;true;2B31BF5A-BE6F-478E-ADD0-79A7206E5B43
10;JobBaseDataDef_UI;Job base data definitions;;net.nan21.dnet.module.hr.job.frame.JobBaseDataDef_UI;nan21.dnet.module.hr.ui.extjs;true;EDC46F47-90E7-4AEE-93E8-7143216617C2
20;Job_UI;Jobs;;net.nan21.dnet.module.hr.job.frame.Job_UI;nan21.dnet.module.hr.ui.extjs;true;7EE11642-C32B-4DC5-8B8D-544B880C5D59
70;Locations_UI;Addresses;;net.nan21.dnet.module.bd.geo.frame.Locations_UI;nan21.dnet.module.bd.ui.extjs;true;B11BBF73-6713-4AA5-933D-2211F962C8BA
40;Menu_UI;Menus;;net.nan21.dnet.module.ad.usr.frame.Menu_UI;nan21.dnet.module.ad.ui.extjs;true;10C656C3-A81D-4D8F-9D96-EE5CA8D62237
30;mm-menu;Material management;MD;;;true;D2B954C9-A509-4AEC-9156-0E66984E05D0
10;mm-menu-base;Base-data;;;;true;E031FB9F-A408-4542-93FC-36EFA3811A93
20;mm-menu-md;Master-data;;;;true;693AF165-CB18-480C-A803-1FB255391A02
;MyCalendarEvent_UI;Calendar events;;net.nan21.dnet.module.md.activity.frame.MyCalendarEvent_UI;nan21.dnet.module.md.ui.extjs;true;DE607C0B-9F37-418C-9DF4-5AFFF939AC65
10;MyClient_UI;Client info;;net.nan21.dnet.module.ad.client.frame.MyClient_UI;nan21.dnet.module.ad.ui.extjs;true;05E70937-80EA-4EB4-A5D0-723616C573E2
10;OpportunityBaseData_UI;Opportunity base data;;net.nan21.dnet.module.sd.opportunity.frame.OpportunityBaseData_UI;nan21.dnet.module.sd.ui.extjs;true;045C8A05-4FCF-4E04-B995-0893E56FDB92
20;Opportunity_UI;Opportunities;;net.nan21.dnet.module.sd.opportunity.frame.Opportunity_UI;nan21.dnet.module.sd.ui.extjs;true;3080F737-4D3A-4BD8-BB03-84EB529F6313
30;Org_UI;Organizations;;net.nan21.dnet.module.bd.org.frame.Org_UI;nan21.dnet.module.bd.ui.extjs;true;7E997AC3-F995-439E-B874-977B458417C8
50;FinancialAccount_UI;Financial accounts;;net.nan21.dnet.module.md.org.frame.FinancialAccount_UI;nan21.dnet.module.md.ui.extjs;true;3E87DDB6-9F6D-4EC6-A240-241FA0B8E4E3
10;PaymentIn_UI;Payment In;;net.nan21.dnet.module.sd.invoice.frame.PaymentIn_UI;nan21.dnet.module.sd.ui.extjs;true;0B405E8B-B166-41C0-AF60-BC3C4E30487B
10;PaymentOut_UI;Payment Out;;net.nan21.dnet.module.sc.invoice.frame.PaymentOut_UI;nan21.dnet.module.sc.ui.extjs;true;A0DFD087-C9C3-4FC6-9496-4AB55FD3CDD9
10;Payment_UI;Payments;;net.nan21.dnet.module.md.tx.fin.frame.Payment_UI;nan21.dnet.module.md.ui.extjs;true;8233DFB6-B94A-459D-A25C-D5FC9AC7582C
60;PayrollBalanceValue_UI;Payroll values : balances;;net.nan21.dnet.module.hr.payroll.frame.PayrollBalanceValue_UI;nan21.dnet.module.hr.ui.extjs;true;03632E56-2815-48D5-A0FE-C3DB75FF92B0
70;PayrollElementFormulas_UI;Element formulas;;net.nan21.dnet.module.hr.payroll.frame.PayrollElementFormulas_UI;nan21.dnet.module.hr.ui.extjs;true;71054B64-427A-413A-9971-1A1870723EAE
60;PayrollElementInputs_UI;Element inputs;;net.nan21.dnet.module.hr.payroll.frame.PayrollElementInputs_UI;nan21.dnet.module.hr.ui.extjs;true;1E1FD8F5-7552-424D-97FD-FA477AE7FA00
50;PayrollElements_UI;Elements;;net.nan21.dnet.module.hr.payroll.frame.PayrollElements_UI;nan21.dnet.module.hr.ui.extjs;true;B1505355-AC75-441C-951B-CABB51AE18CF
50;PayrollElementValue_UI;Payroll values : elements;;net.nan21.dnet.module.hr.payroll.frame.PayrollElementValue_UI;nan21.dnet.module.hr.ui.extjs;true;F624DF51-655C-46D3-B035-FD1E9F5E0421
30;PayrollElement_UI;Element setup;;net.nan21.dnet.module.hr.payroll.frame.PayrollElement_UI;nan21.dnet.module.hr.ui.extjs;true;4A66D3DF-A0E5-4FC0-A622-581DD5CDDF26
20;PayrollManualValue_UI;Payroll manual entry;;net.nan21.dnet.module.hr.payroll.frame.PayrollManualValue_UI;nan21.dnet.module.hr.ui.extjs;true;EC2C5EEF-0CB4-417E-A57D-EAADB2F4B429
10;Payroll_UI;Payroll;;net.nan21.dnet.module.hr.payroll.frame.Payroll_UI;nan21.dnet.module.hr.ui.extjs;true;C720BBDC-88D5-4D0C-892C-F2E14B9411C8
30;PayScaleRate_UI;Pay scale rates;;net.nan21.dnet.module.hr.grade.frame.PayScaleRate_UI;nan21.dnet.module.hr.ui.extjs;true;4C5E399F-A063-45AF-A878-2A6C628912E9
40;PayScale_UI;Pay scales;;net.nan21.dnet.module.hr.grade.frame.PayScale_UI;nan21.dnet.module.hr.ui.extjs;true;82026F01-7F54-45BE-8DDF-D60299D3A1B1
10;pj-menu-base;Base data;PJ;;;true;7BA2F300-E475-4EEB-9ACF-724DC083A5D6
20;pj-menu-issues;Incidents;PJ;;;true;59A0729B-0E79-4BEB-9F43-53AC32E36CFC
30;pj-menu-projects;Projects;PJ;;;true;BB9BF105-C6FB-4FB7-9381-E9FF32237B2E
30;Position_UI;Positions;;net.nan21.dnet.module.hr.job.frame.Position_UI;nan21.dnet.module.hr.ui.extjs;true;15D8FED2-9068-41A8-A980-46A10C53B5A2
