sequenceNo;name;title;menu;frame;bundle;active;uuid
10;AbsenceBaseData_UI;Absence base data;;net.nan21.dnet.module.hr.time.frame.AbsenceBaseData_UI;nan21.dnet.module.hr.ui.extjs;true;7A3DFAD1-E703-4A16-91C7-29CDA8C7C0C8
20;Absence_UI;Absences;;net.nan21.dnet.module.hr.time.frame.Absence_UI;nan21.dnet.module.hr.ui.extjs;true;817C5A5D-BAAC-4203-87A1-51621A426E4F
30;AccBalance_UI;Account balance;;net.nan21.dnet.module.md.tx.acc.frame.AccBalance_UI;nan21.dnet.module.md.ui.extjs;true;DEF6B16F-056B-47DF-BA40-B2CDAF9AF807
10;AccDoc_UI;Accounting documents;;net.nan21.dnet.module.md.tx.acc.frame.AccDoc_UI;nan21.dnet.module.md.ui.extjs;true;6273476A-FCFD-40F5-9F96-71DB3185E7A1
10;AccessControl_UI;Access rights;;net.nan21.dnet.module.ad.usr.frame.AccessControl_UI;nan21.dnet.module.ad.ui.extjs;true;D51A153A-12BC-4C65-A931-378E129F6778
30;AccItem_UI;G/L Items;;net.nan21.dnet.module.md.acc.frame.AccItem_UI;nan21.dnet.module.md.ui.extjs;true;2508B556-21EA-4A31-9C2E-50B2063C0EE2
40;AccJournal_UI;Journals;;net.nan21.dnet.module.md.acc.frame.AccJournal_UI;nan21.dnet.module.md.ui.extjs;true;289D1F15-FDB2-4F73-AF0E-32AB36140AAF
20;AccOperation_UI;Great ledger;;net.nan21.dnet.module.md.tx.acc.frame.AccOperation_UI;nan21.dnet.module.md.ui.extjs;true;12D14FA6-B3DC-4EBB-A856-CC370BB93A4A
20;Account_UI;Account chart;;net.nan21.dnet.module.md.acc.frame.Account_UI;nan21.dnet.module.md.ui.extjs;true;F8F79B22-CC86-4083-95B7-2BE81CA8067E
10;AccSchema_UI;Accounting schema;;net.nan21.dnet.module.md.acc.frame.AccSchema_UI;nan21.dnet.module.md.ui.extjs;true;3D778172-22F6-4B53-85FF-033C52645A7A
2;ad-menu-acl;Access control;;;;true;FD12B382-6EE9-4A9D-9840-819336E50778
10;ad-menu-client;Client;AD;;;true;B27EFBE3-AD79-4ACC-AD09-2C1B0547F643
40;ad-menu-data;Data;AD;;;true;EA26207C-E2F4-4F45-ACF8-6EBFD749B02C
2;ad-menu-exp;Export;;;;true;E84BBD96-A771-439C-962A-ADAB03D9D624
1;ad-menu-imp;Import;;;;true;CF424C67-DE29-4C7D-9B90-171C72A5AA97
50;ad-menu-impex;Import-Export;AD;;;true;71AA9DAA-2E27-41E1-B34C-043C56FCFCC3
80;ad-menu-job;Jobs;AD;;;true;EBEA50FD-EC2E-4546-BD58-D49CB98A3E93
70;ad-menu-rep;Reports;AD;;;true;D9B488AD-4BF4-4996-90D5-0F6B39B1D2D4
30;ad-menu-security;Security;AD;;;true;06FDEFA3-64B7-4528-89B4-18D3EEB769C8
20;ad-menu-system;System;AD;;;true;976A2A38-651F-4F12-96B0-08362141E7BC
1;ad-menu-usr;Users;;;;true;561C6150-96A6-4862-B2B0-2842E2423971
60;ad-menu-wf;Workflow;AD;;;true;3B737108-CA87-4E1B-A68E-5EFE3AACD401
30;Amortization_UI;Amortization;;net.nan21.dnet.module.fi.asset.frame.Amortization_UI;nan21.dnet.module.fi.ui.extjs;true;612EA975-99ED-4D43-A284-9A89BDC1D674
30;AsgnAccessControl_UI;Access rights - ASGN;;net.nan21.dnet.module.ad.usr.frame.AsgnAccessControl_UI;nan21.dnet.module.ad.ui.extjs;true;2CED6C56-5E0B-49F9-A237-0D1A715F3614
10;AssetBaseData_UI;Base data;;net.nan21.dnet.module.fi.asset.frame.AssetBaseData_UI;nan21.dnet.module.fi.ui.extjs;true;8F6BE468-5AED-4E3C-9B01-8A5833A4B337
20;Asset_UI;Assets;;net.nan21.dnet.module.fi.asset.frame.Asset_UI;nan21.dnet.module.fi.ui.extjs;true;9322F001-1C5C-4B82-BF1F-BE781BCD91DE
50;Assignables_UI;Assignable resources;;net.nan21.dnet.module.ad.usr.frame.Assignables_UI;nan21.dnet.module.ad.ui.extjs;true;D5ADDF62-C11C-4168-A445-3D7B5D2F9870
20;Attachments_UI;Attachments;;net.nan21.dnet.module.ad.data.frame.Attachments_UI;nan21.dnet.module.ad.ui.extjs;true;670F1069-34AD-4ACD-9CB4-306619FB2D5D
10;AttachmentType_UI;Attachment types;;net.nan21.dnet.module.ad.data.frame.AttachmentType_UI;nan21.dnet.module.ad.ui.extjs;true;C649AD16-C126-43C2-964A-BFFF8701518B
20;AttributeBaseData_UI;Attributes base data;;net.nan21.dnet.module.bd.attr.frame.AttributeBaseData_UI;nan21.dnet.module.bd.ui.extjs;true;491433F5-BC8F-446E-934C-9A29C8B0CE44
30;AttributeSet_UI;Attribute sets;;net.nan21.dnet.module.bd.attr.frame.AttributeSet_UI;nan21.dnet.module.bd.ui.extjs;true;491433F5-BC8F-446E-934C-9A19C8B0CE44
20;Attributes_UI;Attributes;;net.nan21.dnet.module.bd.attr.frame.Attributes_UI;nan21.dnet.module.bd.ui.extjs;true;491633F5-BC8F-446E-934C-9A29C8B0CE44
70;AuditFieldRep_UI;Audit trails;;net.nan21.dnet.module.ad.system.frame.AuditFieldRep_UI;nan21.dnet.module.ad.ui.extjs;true;C0C9C35B-094C-402C-A655-4D33ACA7BEC2
20;Bank_UI;Banks;;net.nan21.dnet.module.md.bp.frame.Bank_UI;nan21.dnet.module.md.ui.extjs;true;41F5A6CD-2315-4D07-BF4D-E8B44482311F
47;bd-menu-attr;Attributes;BD;;;true;E8002ADF-FCCB-45A2-85D0-F5377D352DE3
50;bd-menu-contact;Collaboration;BD;;;true;CF4D8060-521B-41C8-BB5E-822A7284EBF9
20;bd-menu-currency;Currencies;BD;;;true;D32EAE39-2BC4-4A04-8ED9-2CEA7E6E413B
45;bd-menu-elem;Elements;BD;;;true;AC68C550-6C98-4CBA-A5B8-573A9A756B80
10;bd-menu-geo;Geography;BD;;;true;E45F2196-7075-4F14-9360-5F1A77AE68DF
70;bd-menu-org;Organizations;BD;;;true;F0D7D634-E829-42E4-BA5D-027B1F17AB31
40;bd-menu-stds;Standards;BD;;;true;BEB967DD-DBAB-4E4D-A419-83705A309E01
60;bd-menu-time;Time control;BD;;;true;284C2EE0-CC4F-4A20-B8EA-5538510B601C
30;bd-menu-uom;Measuring units;BD;;;true;39CDD4DD-9547-49AE-A193-086B0D8A75EC
20;bp-menu;Business partners;MD;;;true;E72F3977-9404-47A6-BB25-93CB666E4391
10;bp-menu-base;Base-data;;;;true;CF606508-6A3C-4166-9AB5-C38BF2B41855
20;bp-menu-md;Master-data;;;;true;E832FE4D-A8B3-4CE1-A06F-3279A319C56F
30;BpAccount_UI;Business partner accounts;;net.nan21.dnet.module.md.bp.frame.BpAccount_UI;nan21.dnet.module.md.ui.extjs;true;A0203096-4CC5-43AC-89E2-C8D63BE6808A
10;BPartner_UI;Business partners;;net.nan21.dnet.module.md.bp.frame.BPartner_UI;nan21.dnet.module.md.ui.extjs;true;4226A1AE-A154-41B2-ADB1-B438E36A132D
10;BP_BaseData_UI;Definitions (BP);;net.nan21.dnet.module.md.bp.frame.BP_BaseData_UI;nan21.dnet.module.md.ui.extjs;true;7DEC3F4B-C848-4EFE-A1FC-CA2561C4E45C
