"accSchema";"code";"name";"sign";"summary";"notes";"active"
"std";"4311";"Contributia unitatii la asigurarile sociale";"1";"false";;"true"
"std";"4312";"Contributia personalului la asigurarile sociale";"1";"false";;"true"
"std";"4313";"Contributia angajatorului pentru asigurarile sociale de sanatate";"1";"false";;"true"
"std";"4314";"Contributia angajatilor pentru asigurarile sociale de sanatate";"1";"false";;"true"
"std";"437";"Ajutor de somaj";"1";"false";;"true"
"std";"4371";"Contributia unitatii la fondul de somaj";"1";"false";;"true"
"std";"4372";"Contributia personalului la fondul de somaj";"1";"false";;"true"
"std";"438";"Alte datorii si creante sociale";"1";"false";;"true"
"std";"4381";"Alte datorii sociale";"1";"false";;"true"
"std";"4382";"Alte creante sociale";"1";"false";;"true"
"std";"44";"BUGETUL STATULUI, FONDURI SPECIALE SI CONTURI ASIMILATE";"1";"false";;"true"
"std";"441";"Impozitul pe profit/venit";"1";"false";;"true"
"std";"442";"Taxa pe valoarea adaugata";"1";"false";;"true"
"std";"4423";"T.V.A. de plata";"1";"false";;"true"
"std";"4424";"T.V.A. de recuperat";"1";"false";;"true"
"std";"4426";"T.V.A. deductibila";"1";"false";;"true"
"std";"4427";"T.V.A. colectata";"1";"false";;"true"
"std";"4428";"T.V.A. neexigibila";"1";"false";;"true"
"std";"444";"Impozitul pe venituri de natura salariilor";"1";"false";;"true"
"std";"445";"Subventii";"1";"false";;"true"
"std";"446";"Alte impozite, taxe si varsaminte asimilate";"1";"false";;"true"
"std";"447";"Fonduri speciale - taxe si varsaminte asimilate";"1";"false";;"true"
"std";"448";"Alte datorii si creante cu bugetul statului";"1";"false";;"true"
"std";"4481";"Alte datorii fata de bugetul statului";"1";"false";;"true"
"std";"4482";"Alte creante privind bugetul statului";"1";"false";;"true"
"std";"45";"GRUP SI ASOCIATI";"1";"false";;"true"
"std";"5";"CONTURI DE TREZORERIE";"1";"false";;"true"
"std";"50";"INVESTITII FINANCIARE PE TERMEN SCURT";"1";"false";;"true"
"std";"51";"CONTURI LA BANCI";"1";"false";;"true"
"std";"511";"Valori de incasat";"1";"false";;"true"
"std";"5112";"Cecuri de incasat";"1";"false";;"true"
"std";"5113";"Efecte de incasat";"1";"false";;"true"
"std";"5114";"Efecte remise spre scontare";"1";"false";;"true"
"std";"512";"Conturi curente la banci";"1";"false";;"true"
"std";"5121";"Conturi la banci in lei";"1";"false";;"true"
"std";"5124";"Conturi la banci in valuta";"1";"false";;"true"
"std";"5125";"Sume in curs de decontare";"1";"false";;"true"
"std";"518";"Dobanzi";"1";"false";;"true"
"std";"5186";"Dobanzi de platit";"1";"false";;"true"
"std";"5187";"Dobanzi de incasat";"1";"false";;"true"
"std";"519";"Credite bancare pe termen scurt";"1";"false";;"true"
"std";"53";"CASA";"1";"false";;"true"
"std";"531";"Casa";"1";"false";;"true"
"std";"5311";"Casa in lei";"1";"false";;"true"
"std";"5314";"Casa in valuta";"1";"false";;"true"
"std";"6";"CONTURI DE CHELTUIELI";"1";"false";;"true"
"std";"60";"CHELTUIELI PRIVIND STOCURILE";"1";"false";;"true"
"std";"601";"Cheltuieli cu materiile prime";"1";"false";;"true"
"std";"602";"Cheltuieli cu materialele consumabile";"1";"false";;"true"
